SKU,name,floral_type,color,category,quantity_suggested,primary_emotion,emotion_tags,color_modifier,design_use,substitution_note,source,confidence
EC-001,Ivory Peony Stem,peony,ivory,focal,8-12,softness,"softness, nostalgia, quiet elegance, grace",ivory: warmth + quiet elegance,Anchor focal cluster; pairs with sage and dusty rose,,reference_table,high
EC-002,Blush Peony Stem,peony,blush,focal,8-12,tenderness,"tenderness, sweetness, softness, romance",blush: tenderness + romance,Romantic lead focal; pairs with cream and ivory,,reference_table,high
EC-003,Dusty Rose Peony Stem,peony,dusty rose,focal,6-10,nostalgia,"nostalgia, softness, romance, warmth",dusty rose: warmth + nostalgia,Vintage-style builds; all-season versatility,,reference_table,high
EC-004,White Peony Stem,peony,white,focal,8-12,purity,"purity, grace, peace, softness",white: amplifies purity + peace,Clean editorial builds; winter and spring,,reference_table,high
EC-005,Burgundy Peony Stem,peony,burgundy,focal,4-6,drama,"drama, richness, desire, grace",burgundy: depth + richness + drama,Moody autumn builds; luxury accent,,reference_table,high
EC-006,Champagne Garden Rose Stem,garden rose,champagne,focal,8-12,nostalgia,"nostalgia, warmth, quiet elegance, sentimentality",cream/ivory: warmth + nostalgia,Timeless builds; farmhouse and vintage,,reference_table,high
EC-007,Blush Garden Rose Stem,garden rose,blush,focal,8-12,romance,"romance, tenderness, nostalgia, warmth",blush: tenderness + romance,Core romantic focal; year-round,,reference_table,high
EC-008,Burgundy Garden Rose Stem,garden rose,burgundy,focal,4-6,richness,"richness, romance, depth, sentimentality",burgundy: depth + desire + drama,Autumn and winter moody builds,,reference_table,high
EC-009,Cream Garden Rose Stem,garden rose,cream,focal,8-12,warmth,"warmth, nostalgia, sentimentality, quiet elegance",cream: warmth + quiet luxury,Foundation romantic focal,,reference_table,high
EC-010,Dusty Mauve Garden Rose Stem,garden rose,dusty mauve,focal,6-8,nostalgia,"nostalgia, mystery, romance, warmth",dusty mauve: quiet luxury + softness,Sophisticated moody builds; pairs with sage,,reference_table,high
EC-011,Ivory Ranunculus Stem,ranunculus,ivory,focal,10-16,charm,"charm, warmth, quiet radiance, attraction",ivory: quiet elegance + warmth,Filler-focal hybrid; high volume fills gaps,,reference_table,high
